Data;DataExcel;Regiao;Sistema;Classe;TipoConsumidor; Consumo ;Consumidores
20240301;01/03/2024;Nordeste;NORDESTE;Outros;Livre;146.465,58;434
20240301;01/03/2024;Nordeste;NORDESTE;Residencial;Cativo;2.713.245,03;19.650.995
20240301;01/03/2024;Nordeste;NORDESTE;Residencial;Livre;28,00;1
20240301;01/03/2024;Nordeste;NORDESTE;Rural;Cativo;336.167,39;1.054.626
20240301;01/03/2024;Nordeste;NORDESTE;Rural;Livre;7.782,22;92
20240301;01/03/2024;Nordeste;NORTE INTERLIGADO;Comercial;Cativo;59.359,35;60.355
20240301;01/03/2024;Nordeste;NORTE INTERLIGADO;Comercial;Livre;44.018,36;410
20240301;01/03/2024;Nordeste;NORTE INTERLIGADO;Industrial;Cativo;10.522,37;2.757
20240301;01/03/2024;Nordeste;NORTE INTERLIGADO;Industrial;Livre;516.416,41;101
20240301;01/03/2024;Nordeste;NORTE INTERLIGADO;Outros;Cativo;102.078,02;39.125
20240301;01/03/2024;Nordeste;NORTE INTERLIGADO;Outros;Livre;870,01;37
20240301;01/03/2024;Nordeste;NORTE INTERLIGADO;Residencial;Cativo;378.237,71;2.521.699
20240301;01/03/2024;Nordeste;NORTE INTERLIGADO;Residencial;Livre;59,13;1
20240301;01/03/2024;Nordeste;NORTE INTERLIGADO;Rural;Cativo;23.013,71;119.997
20240301;01/03/2024;Nordeste;NORTE INTERLIGADO;Rural;Livre;1.812,56;10
20240301;01/03/2024;Nordeste;SISTEMAS ISOLADOS;Comercial;Cativo;1.082,00;284
20240301;01/03/2024;Nordeste;SISTEMAS ISOLADOS;Industrial;Cativo;19,00;3
20240301;01/03/2024;Nordeste;SISTEMAS ISOLADOS;Outros;Cativo;510,00;106
20240301;01/03/2024;Nordeste;SISTEMAS ISOLADOS;Residencial;Cativo;978,00;707
20240301;01/03/2024;Nordeste;SISTEMAS ISOLADOS;Rural;Cativo;7,00;6
20240301;01/03/2024;Norte;NORTE INTERLIGADO;Comercial;Cativo;258.717,62;260.666
20240301;01/03/2024;Norte;NORTE INTERLIGADO;Comercial;Livre;128.060,67;858
20240301;01/03/2024;Norte;NORTE INTERLIGADO;Industrial;Cativo;52.634,97;7.088
20240301;01/03/2024;Norte;NORTE INTERLIGADO;Industrial;Livre;1.296.520,83;539
20240301;01/03/2024;Norte;NORTE INTERLIGADO;Outros;Cativo;229.354,53;40.713
